Time,Position,Symbol,Type,Volume,Entry,SL,TP,CloseTime,Exit,Commission,Swap,Profit
2026.02.10 10:48:28,511749575,GBPUSDm,sell,0.01,1.36647,1.36746,,2026.02.10 11:13:04,1.36645,0,0,0.02
2026.02.10 12:30:03,511797401,GBPUSDm,sell,0.01,1.36788,1.36967,1.36574,2026.02.10 14:30:13,1.36967,0,0,-1.79
2026.02.11 11:53:44,512345641,GBPUSDm,buy,0.02,1.36953,1.36854,1.37129,2026.02.11 12:09:52,1.36854,0,0,-1.98
2026.02.11 12:06:28,512353199,GBPUSDm,buy,0.02,1.36883,1.36855,,2026.02.11 12:08:18,1.36855,0,0,-0.56
2026.02.12 06:18:30,512788748,GBPUSDm,buy,0.01,1.36164,1.36078,,2026.02.12 06:32:23,1.36078,0,0,-0.86
2026.02.12 08:47:06,512853341,GBPUSDm,buy,0.01,1.36284,1.3624,1.37122,2026.02.12 12:54:26,1.3624,0,0,-0.44
2026.02.12 10:16:12,512893367,GBPUSDm,buy,0.01,1.36397,1.36239,1.37119,2026.02.12 12:54:26,1.36239,0,0,-1.58
2026.02.16 11:00:32,514235176,GBPUSDm,sell,0.01,1.36495,1.36641,1.36274,2026.02.16 13:36:14,1.36305,0,0,1.9
2026.02.16 14:19:54,514327313,GBPUSDm,sell,0.01,1.3636,1.36498,,2026.02.16 16:12:01,1.36339,0,0,0.21
2026.02.17 08:53:00,514649254,EURUSDm,sell,0.03,1.18429,1.18499,,2026.02.17 09:35:05,1.18499,0,0,-2.1
2026.02.18 09:45:23,515224254,GBPUSDm,buy,0.01,1.35674,1.35647,,2026.02.18 10:48:24,1.35733,0,0,0.59
2026.02.18 10:27:19,515243388,GBPUSDm,buy,0.01,1.35805,1.35653,,2026.02.18 10:48:24,1.35733,0,0,-0.72
2026.02.18 10:50:58,515255362,EURUSDm,sell,0.01,1.18339,1.18488,,2026.02.18 12:36:24,1.18466,0,0,-1.27
2026.02.18 10:53:26,515256468,EURUSDm,sell,0.01,1.18349,1.1849,,2026.02.18 12:36:28,1.18463,0,0,-1.14
2026.02.18 13:54:25,515362551,EURUSDm,sell,0.01,1.18292,1.1851,,2026.02.18 18:42:02,1.17913,0,0,3.79
2026.02.19 07:30:57,515697197,EURUSDm,buy,0.01,1.17965,1.17801,,2026.02.19 09:43:07,1.17986,0,0,0.21
2026.02.19 13:33:06,515893311,XAUUSDm,buy,0.01,4984,4971.631,,2026.02.19 14:10:39,4973.779,0,0,-10.22
2026.02.20 07:16:36,516358845,GBPUSDm,sell,0.01,1.34591,1.34723,1.34335,2026.02.20 08:10:44,1.3438,0,0,2.11
2026.02.20 07:17:08,516359013,GBPUSDm,sell,0.01,1.34591,1.34723,,2026.02.20 08:10:59,1.34386,0,0,2.05
2026.02.20 08:30:15,516406546,GBPUSDm,sell,0.01,1.34502,1.34697,,2026.02.20 09:30:01,1.34697,0,0,-1.95
2026.02.20 13:02:39,516564448,XAUUSDm,buy,0.01,5026.157,5026.236,,2026.02.20 13:08:28,5026.236,0,0,0.08
2026.02.20 13:35:02,516582794,EURUSDm,sell,0.01,1.17607,1.17877,,2026.02.20 15:01:42,1.17877,0,0,-2.7
2026.02.23 07:20:39,517337184,GBPUSDm,buy,0.01,1.35263,1.35117,1.3552,2026.02.23 08:31:09,1.35117,0,0,-1.46
2026.02.23 07:21:02,517337332,EURUSDm,buy,0.01,1.18244,1.18141,,2026.02.23 08:25:51,1.18141,0,0,-1.03
2026.02.23 07:26:46,517340918,GBPUSDm,buy,0.02,1.35272,1.35228,,2026.02.23 07:31:12,1.35228,0,0,-0.88
2026.02.23 13:45:20,517522093,GBPUSDm,sell,0.01,1.35041,1.35141,,2026.02.23 14:36:02,1.35141,0,0,-1
2026.02.23 13:51:43,517524980,GBPUSDm,sell,0.01,1.34994,1.3511,1.34757,2026.02.23 14:16:11,1.3511,0,0,-1.16
2026.02.24 07:00:56,517878277,GBPUSDm,sell,0.02,1.34843,1.34933,1.34592,2026.02.24 09:11:42,1.34933,0,0,-1.8
2026.02.24 11:15:48,517990135,EURUSDm,buy,0.02,1.17848,1.17709,,2026.02.24 13:45:16,1.17709,0,0,-2.78
2026.02.25 08:02:40,518536477,GBPUSDm,sell,0.04,1.3529,1.35385,1.34999,2026.02.25 08:15:16,1.35188,0,0,4.08
2026.02.26 11:41:08,519271736,EURUSDm,buy,0.01,1.18033,1.17702,,2026.02.27 19:39:51,1.18208,0,0,1.75
2026.02.26 11:47:45,519274055,EURUSDm,buy,0.01,1.18029,1.17928,,2026.02.26 15:24:45,1.17928,0,0,-1.01
2026.02.26 14:17:43,519370053,EURUSDm,buy,0.01,1.18058,1.18016,,2026.02.26 15:16:19,1.18016,0,0,-0.42
